n,T,pr,Model,Activity,Scenario,Region,Label,Mask,Season,Year,
127,-0.15,2.23,bccr_bcm2_0,CMIP3,A1B,West Coast South America,WSA,land,JJA,2085,
128,-0.05,2.2,bccr_bcm2_0,CMIP3,A1B,West Coast South America,WSA,land,MAM,2085,
129,-0.02,2.39,bccr_bcm2_0,CMIP3,A1B,West Coast South America,WSA,land,SON,2085,
130,0.28,4.32,cccma_cgcm3_1,CMIP3,A1B,Alaska/NW Canada,ALA,land,ANN,2085,
131,0.33,6.98,cccma_cgcm3_1,CMIP3,A1B,Alaska/NW Canada,ALA,land,DJF,2085,
132,0.29,2.42,cccma_cgcm3_1,CMIP3,A1B,Alaska/NW Canada,ALA,land,JJA,2085,
133,0.18,3.49,cccma_cgcm3_1,CMIP3,A1B,Alaska/NW Canada,ALA,land,MAM,2085,
134,0.3,4.39,cccma_cgcm3_1,CMIP3,A1B,Alaska/NW Canada,ALA,land,SON,2085,
135,-0.01,3.45,cccma_cgcm3_1,CMIP3,A1B,South America: Amazon,AMZ,land,ANN,2085,
136,0.15,3.4,cccma_cgcm3_1,CMIP3,A1B,South America: Amazon,AMZ,land,DJF,2085,
137,-0.15,3.7,cccma_cgcm3_1,CMIP3,A1B,South America: Amazon,AMZ,land,JJA,2085,
138,0.07,3.12,cccma_cgcm3_1,CMIP3,A1B,South America: Amazon,AMZ,land,MAM,2085,
139,-0.12,3.6,cccma_cgcm3_1,CMIP3,A1B,South America: Amazon,AMZ,land,SON,2085,
140,-0.31,2.86,cccma_cgcm3_1,CMIP3,A1B,Central America,CAM,land,ANN,2085,
141,0.08,2.77,cccma_cgcm3_1,CMIP3,A1B,Central America,CAM,land,DJF,2085,
142,-0.7,2.82,cccma_cgcm3_1,CMIP3,A1B,Central America,CAM,land,JJA,2085,
143,-0.07,2.95,cccma_cgcm3_1,CMIP3,A1B,Central America,CAM,land,MAM,2085,
144,-0.54,2.91,cccma_cgcm3_1,CMIP3,A1B,Central America,CAM,land,SON,2085,
145,0.02,3.79,cccma_cgcm3_1,CMIP3,A1B,Central Asia,CAS,land,ANN,2085,
146,0.1,3.84,cccma_cgcm3_1,CMIP3,A1B,Central Asia,CAS,land,DJF,2085,
147,0.11,3.93,cccma_cgcm3_1,CMIP3,A1B,Central Asia,CAS,land,JJA,2085,
148,-0.23,3.99,cccma_cgcm3_1,CMIP3,A1B,Central Asia,CAS,land,MAM,2085,
149,0.09,3.41,cccma_cgcm3_1,CMIP3,A1B,Central Asia,CAS,land,SON,2085,
150,0.12,2.73,cccma_cgcm3_1,CMIP3,A1B,Central Europe,CEU,land,ANN,2085,
151,0.29,3.05,cccma_cgcm3_1,CMIP3,A1B,Central Europe,CEU,land,DJF,2085,
152,-0.15,2.47,cccma_cgcm3_1,CMIP3,A1B,Central Europe,CEU,land,JJA,2085,
153,0.21,2.85,cccma_cgcm3_1,CMIP3,A1B,Central Europe,CEU,land,MAM,2085,
154,0.12,2.55,cccma_cgcm3_1,CMIP3,A1B,Central Europe,CEU,land,SON,2085,
155,0.21,3.6,cccma_cgcm3_1,CMIP3,A1B,High-latitudes: Canada/Greenland/Iceland,CGI,land,ANN,2085,
156,0.2,5.75,cccma_cgcm3_1,CMIP3,A1B,High-latitudes: Canada/Greenland/Iceland,CGI,land,DJF,2085,
157,0.2,2.01,cccma_cgcm3_1,CMIP3,A1B,High-latitudes: Canada/Greenland/Iceland,CGI,land,JJA,2085,
158,0.18,3.09,cccma_cgcm3_1,CMIP3,A1B,High-latitudes: Canada/Greenland/Iceland,CGI,land,MAM,2085,
159,0.25,3.56,cccma_cgcm3_1,CMIP3,A1B,High-latitudes: Canada/Greenland/Iceland,CGI,land,SON,2085,
160,0.18,3.18,cccma_cgcm3_1,CMIP3,A1B,Central North America,CNA,land,ANN,2085,
161,0.21,2.94,cccma_cgcm3_1,CMIP3,A1B,Central North America,CNA,land,DJF,2085,
162,0.24,3.3,cccma_cgcm3_1,CMIP3,A1B,Central North America,CNA,land,JJA,2085,
163,0.1,3.4,cccma_cgcm3_1,CMIP3,A1B,Central North America,CNA,land,MAM,2085,
164,0.17,3.07,cccma_cgcm3_1,CMIP3,A1B,Central North America,CNA,land,SON,2085,
165,0.16,3.09,cccma_cgcm3_1,CMIP3,A1B,East Africa,EAF,land,ANN,2085,
166,0.28,2.99,cccma_cgcm3_1,CMIP3,A1B,East Africa,EAF,land,DJF,2085,
167,-0.1,3.12,cccma_cgcm3_1,CMIP3,A1B,East Africa,EAF,land,JJA,2085,
168,0.31,3.09,cccma_cgcm3_1,CMIP3,A1B,East Africa,EAF,land,MAM,2085,
169,0.17,3.15,cccma_cgcm3_1,CMIP3,A1B,East Africa,EAF,land,SON,2085,
170,0.24,2.69,cccma_cgcm3_1,CMIP3,A1B,Eastern Asia,EAS,land,ANN,2085,
171,0.12,2.97,cccma_cgcm3_1,CMIP3,A1B,Eastern Asia,EAS,land,DJF,2085,
172,0.33,2.71,cccma_cgcm3_1,CMIP3,A1B,Eastern Asia,EAS,land,JJA,2085,
173,0.25,2.4,cccma_cgcm3_1,CMIP3,A1B,Eastern Asia,EAS,land,MAM,2085,
174,0.28,2.67,cccma_cgcm3_1,CMIP3,A1B,Eastern Asia,EAS,land,SON,2085,
175,0.12,2.91,cccma_cgcm3_1,CMIP3,A1B,Eastern North America,ENA,land,ANN,2085,
176,0.57,3.16,cccma_cgcm3_1,CMIP3,A1B,Eastern North America,ENA,land,DJF,2085,
177,-0.27,2.75,cccma_cgcm3_1,CMIP3,A1B,Eastern North America,ENA,land,JJA,2085,
178,0.02,2.95,cccma_cgcm3_1,CMIP3,A1B,Eastern North America,ENA,land,MAM,2085,
179,0.13,2.79,cccma_cgcm3_1,CMIP3,A1B,Eastern North America,ENA,land,SON,2085,
180,-0.16,3.27,cccma_cgcm3_1,CMIP3,A1B,Southern Europe/Mediterranean,MED,land,ANN,2085,
181,-0.1,2.81,cccma_cgcm3_1,CMIP3,A1B,Southern Europe/Mediterranean,MED,land,DJF,2085,
182,-0.23,3.83,cccma_cgcm3_1,CMIP3,A1B,Southern Europe/Mediterranean,MED,land,JJA,2085,
183,-0.1,3.15,cccma_cgcm3_1,CMIP3,A1B,Southern Europe/Mediterranean,MED,land,MAM,2085,
184,-0.2,3.28,cccma_cgcm3_1,CMIP3,A1B,Southern Europe/Mediterranean,MED,land,SON,2085,
185,0.22,3.46,cccma_cgcm3_1,CMIP3,A1B,North Asia,NAS,land,ANN,2085,
186,0.18,4.6,cccma_cgcm3_1,CMIP3,A1B,North Asia,NAS,land,DJF,2085,
187,0.27,2.84,cccma_cgcm3_1,CMIP3,A1B,North Asia,NAS,land,JJA,2085,
188,0.23,2.87,cccma_cgcm3_1,CMIP3,A1B,North Asia,NAS,land,MAM,2085,
189,0.21,3.53,cccma_cgcm3_1,CMIP3,A1B,North Asia,NAS,land,SON,2085,
190,0.32,2.83,cccma_cgcm3_1,CMIP3,A1B,Australia/North Australia,NAU,land,ANN,2085,
191,0.42,2.98,cccma_cgcm3_1,CMIP3,A1B,Australia/North Australia,NAU,land,DJF,2085,
192,0.22,2.66,cccma_cgcm3_1,CMIP3,A1B,Australia/North Australia,NAU,land,JJA,2085,
193,0.55,2.9,cccma_cgcm3_1,CMIP3,A1B,Australia/North Australia,NAU,land,MAM,2085,
194,0.1,2.77,cccma_cgcm3_1,CMIP3,A1B,Australia/North Australia,NAU,land,SON,2085,
195,-0.32,3.15,cccma_cgcm3_1,CMIP3,A1B,Northeast Brazil,NEB,land,ANN,2085,
196,-0.52,3.14,cccma_cgcm3_1,CMIP3,A1B,Northeast Brazil,NEB,land,DJF,2085,
197,-0.24,3.03,cccma_cgcm3_1,CMIP3,A1B,Northeast Brazil,NEB,land,JJA,2085,
198,-0.4,2.8,cccma_cgcm3_1,CMIP3,A1B,Northeast Brazil,NEB,land,MAM,2085,
199,-0.13,3.64,cccma_cgcm3_1,CMIP3,A1B,Northeast Brazil,NEB,land,SON,2085,
200,0.15,2.23,cccma_cgcm3_1,CMIP3,A1B,Northern Europe,NEU,land,ANN,2085,
201,0.16,2.88,cccma_cgcm3_1,CMIP3,A1B,Northern Europe,NEU,land,DJF,2085,
202,0.05,1.72,cccma_cgcm3_1,CMIP3,A1B,Northern Europe,NEU,land,JJA,2085,
203,0.14,2.43,cccma_cgcm3_1,CMIP3,A1B,Northern Europe,NEU,land,MAM,2085,
204,0.23,1.89,cccma_cgcm3_1,CMIP3,A1B,Northern Europe,NEU,land,SON,2085,
